id,created_at,type,code,input,output
e3f9844d-7804-41c4-966b-6cef91705ab2,2022-03-15 05:13:52.120807,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""a6ec2be4-d01b-4fc1-bc53-8d9ec0ba42d1""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""e9f49fe454624aa49c40edd7bb4a4cc2""}, ""statusCode"": 400}"
c6731b9f-897c-4c4a-8a1f-84820bb88bee,2022-03-15 05:13:53.667905,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""7b2b75bc-2869-4e27-8c39-0ac32d8df932""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""c911373969574071bf0498472809e6aa""}, ""statusCode"": 400}"
3cc374a4-ab6b-4b96-b2df-a39dd27f40f9,2022-03-15 05:11:06.774062,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""7b2b75bc-2869-4e27-8c39-0ac32d8df932""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""b317504c77b249088b87c47359ffaf6d""}, ""statusCode"": 400}"
d0ee4e5f-1dfd-40d7-9e62-fdacaaadfd14,2022-03-15 05:16:22.762248,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""7b2b75bc-2869-4e27-8c39-0ac32d8df932""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""6cb19da53d8e47688a488e8df5945b4b""}, ""statusCode"": 400}"
ef5287ac-e3ac-444e-abdc-e1d0f43bba2f,2022-03-15 05:14:58.467719,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""a6ec2be4-d01b-4fc1-bc53-8d9ec0ba42d1""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""1203579ce4924d4895960b65fa240dd2""}, ""statusCode"": 400}"
d448af1a-0e8d-4184-813c-2b7ebdceb276,2022-03-15 05:15:07.502664,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""a6ec2be4-d01b-4fc1-bc53-8d9ec0ba42d1""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""22320dffe8a34b3dbb5b3c0db9b0a25c""}, ""statusCode"": 400}"
d317f565-22ec-4e5a-ad1b-e44e52c8f5dc,2022-03-15 05:15:54.510341,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""a6ec2be4-d01b-4fc1-bc53-8d9ec0ba42d1""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""f63fc976ea274c4ba48d17fb213ea8bf""}, ""statusCode"": 400}"
deb1af5d-107e-452c-9025-289952f1af70,2022-03-15 05:16:06.772067,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""7b2b75bc-2869-4e27-8c39-0ac32d8df932""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""3a8560cdc26e459ba010cb177a6675ac""}, ""statusCode"": 400}"
6fc33f19-ea8d-419c-a8da-caa6a472b610,2022-03-15 05:16:26.474493,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""7b2b75bc-2869-4e27-8c39-0ac32d8df932""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""67970c0430e94f87b8102d5767a60353""}, ""statusCode"": 400}"
1b6b4da7-3829-45bb-b13a-d37fd0aa96f8,2022-03-15 05:18:34.776405,sync-service,err,"{""type"": ""sync-service"", ""account_id"": 11, ""company_id"": ""6eee8080-ed0d-43f1-809e-22ce63b2603a"", ""segment_id"": ""135ab796-113d-4aef-a6d2-e43049e7b513"", ""maintenance_type_id"": ""7b2b75bc-2869-4e27-8c39-0ac32d8df932""}","{""body"": {""code"": ""err"", ""errorMessage"": ""Cannot read property 'id' of undefined"", ""sentryEventId"": ""a4b1e83b1f2e45d0b221f311c6f5e5ab""}, ""statusCode"": 400}"
